full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-738, Warszawa, Dominikańska, 28",52.17609,21.036108,247.5,BWA,02-738,Warszawa,Dominikańska,28.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 02-829, Warszawa, Taneczna, 28",52.14884,21.01537,247.5,BWC,02-829,Warszawa,Taneczna,28.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 05-830, Kajetany, Brzozowa, 18",52.09181,20.821152,54.0,BHC,05-830,Kajetany,Brzozowa,18.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 05-830, Kajetany, Rolna, 6",52.09015,20.818142,247.5,BHC,05-830,Kajetany,Rolna,6.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 05-816, Reguły, Aleja Powstańców Warszawy, 7",52.170105,20.859324,247.5,PH,05-816,Reguły,Aleja Powstańców Warszawy,7.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_P_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 02-235, Warszawa, Równoległa, 8",52.198322,20.941336,247.5,BWB,02-235,Warszawa,Równoległa,8.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 02-182, Warszawa, Ruchliwa, 27",52.175125,20.947344,247.5,BWB,02-182,Warszawa,Ruchliwa,27.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 02-239, Warszawa, Leonidasa, 15",52.1838,20.94187,247.5,BWA,02-239,Warszawa,Leonidasa,15.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
"Poland, 00-054, Warszawa, Jasna, 17",52.236286,21.010223,54.0,BWB,00-054,Warszawa,Jasna,17.0,1.0,150102_150106_150104_200139,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150102_150106_150104_200139,1.0,1Pt_B_150102_150106_150104_200139,1
