full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-676, Warszawa, Suwak, 12",52.180912,20.991346,297.0,BWA,02-676,Warszawa,Suwak,12.0,1.0,150101_200201,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-504, Henryków-Urocze, Urocza, 33",51.995,20.912777,32.400000000000006,BWC,05-504,Henryków-Urocze,Urocza,33.0,1.0,150101_200201,4 środa,1 raz w miesiącu,4,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-555, Komorniki, Leśna, 21",51.977566,20.853817,64.80000000000001,BHC,05-555,Komorniki,Leśna,21.0,1.0,150101_200201,4 środa,1 raz w miesiącu,4,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 96-300, Wręcza, Nowy Świat, 26",51.99724,20.463785,297.0,BRA,96-300,Wręcza,Nowy Świat,26.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-825, Opypy, Gilewicza, 34",52.096622,20.679472,32.400000000000006,BRC,05-825,Opypy,Gilewicza,34.0,1.0,150101_200201,4 środa,1 raz w miesiącu,4,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-825, Książenice, Marylskiego, 16",52.07091,20.695702,297.0,BRC,05-825,Książenice,Marylskiego,16.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 96-321, Siestrzeń, Żelechowska, 14",52.048805,20.720741,297.0,BRB,96-321,Siestrzeń,Żelechowska,14.0,1.0,150101_200201,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Przyszłości, 10",52.074112,20.875202,297.0,BWC,05-552,Łazy,Przyszłości,10.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
"Poland, 05-552, Jabłonowo, Nadrzeczna, 5",52.057255,20.863361,297.0,BWC,05-552,Jabłonowo,Nadrzeczna,5.0,1.0,150101_200201,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201,1.0,4Sr_B_150101_200201,1
