full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-676, Warszawa, Domaniewska, 9",52.182838439941406,21.01873207092285,495.0,BWB,02-676,Warszawa,Domaniewska,9.0,1.0,200108_200201_200301,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Raszyn, Drukarska, 15",52.146461486816406,20.95037078857422,495.0,BWC,05-090,Raszyn,Drukarska,15.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Falenty Nowe, Willowa, 8",52.13475036621094,20.934640884399414,108.0,BWC,05-090,Falenty Nowe,Willowa,8.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Falenty Nowe, Rozbrat, 25",52.137088775634766,20.92705726623535,54.0,BWC,05-090,Falenty Nowe,Rozbrat,25.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Janki, Godebskiego, 10",52.12995147705078,20.902057647705078,495.0,BHC,05-090,Janki,Godebskiego,10.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Sękocin Nowy, Leszczynowa, 18",52.123435974121094,20.899450302124023,108.0,BHC,05-090,Sękocin Nowy,Leszczynowa,18.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Janki, Wichrowa, 26",52.131561279296875,20.885663986206055,54.0,BHC,05-090,Janki,Wichrowa,26.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Wypędy, Kwietniowa, 10",52.13740539550781,20.88597869873047,495.0,BHC,05-090,Wypędy,Kwietniowa,10.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Raszyn, Puchały, Centralna, 23",52.14999008178711,20.89983558654785,495.0,BWC,05-090,Raszyn,"Puchały, Centralna",23.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-090, Wypędy, Zdrojowa, 19",52.15205764770508,20.879743576049805,495.0,BHC,05-090,Wypędy,Zdrojowa,19.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-800, Pruszków, al. Wojska Polskiego, 30",52.16136169433594,20.802122116088867,108.0,BWC,05-800,Pruszków,al. Wojska Polskiego,30.0,1.0,200108_200201_200301,wtorek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Cz",0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-840, Koszajec, Św. Józefa, 11",52.168697357177734,20.748554229736328,495.0,BHB,05-840,Koszajec,Św. Józefa,11.0,1.0,200108_200201_200301,wtorek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Cz",0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-800, Pruszków, Magazynowa, 25",52.160709381103516,20.768394470214844,495.0,BHC,05-800,Pruszków,Magazynowa,25.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-831, Młochów, Al. Kasztanowa, 6",52.07192611694336,20.776269912719727,3150.0,BHA,05-831,Młochów,Al. Kasztanowa,6.0,1.0,200108_200201_200301,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-825, Grodzisk Mazowiecki, Nadarzyńska, 26",52.098690032958984,20.648656845092773,495.0,BRB,05-825,Grodzisk Mazowiecki,Nadarzyńska,26.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-825, Grodzisk Mazowiecki, Kłudno Stare, 19",52.15156936645508,20.597408294677734,495.0,BRC,05-825,Grodzisk Mazowiecki,Kłudno Stare,19.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-860, Święcice, Zaborowska, 20",52.21696472167969,20.69205093383789,2250.0,BHB,05-860,Święcice,Zaborowska,20.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, , Pilaszków, Nowowiejska, 11",52.232460021972656,20.692501068115234,495.0,BHC,,Pilaszków,Nowowiejska,11.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-850 , Ołtarzew, Poznańska, 14",52.210975646972656,20.776166915893555,54.0,BHC,05-850 ,Ołtarzew,Poznańska,14.0,1.0,200108_200201_200301,2 wtorek,1 raz w miesiącu,2,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-850, Ożarów Mazowiecki, Nadbrzeżna, 20",52.21695327758789,20.798105239868164,495.0,BHC,05-850,Ożarów Mazowiecki,Nadbrzeżna,20.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-850, Ożarów Mazowiecki, Gen. Henryka Dąbrowskiego, 31",52.217933654785156,20.79832649230957,495.0,BHB,05-850,Ożarów Mazowiecki,Gen. Henryka Dąbrowskiego,31.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-850, Ożarów Mazowiecki, Floriana, 6",52.21561813354492,20.802371978759766,54.0,BHC,05-850,Ożarów Mazowiecki,Floriana,6.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-850, Konotopa, Rajdowa, 29",52.19826126098633,20.821720123291016,3150.0,BHA,05-850,Konotopa,Rajdowa,29.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
"Poland, 05-082, Stare Babice, Kutrzeby, 6",52.255184173583984,20.830474853515625,108.0,BHA,05-082,Stare Babice,Kutrzeby,6.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1
